name,num
"SHOPLIFTING OF SHOPPING CART, 3RD OFF. c266 §30A",1
"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND c266 §30A",1
SHOPLIFTING $100+ BY RECORDING FALSE VALUE c266 §30A,1
"SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",1
"SELF-DEFENSE SPRAY, POSS BY PERSON W/ RESTRAINING ORDER c140 §122D",1
"SELF-DEFENSE SPRAY, POSS BY FELON/YO/VIOLENT CRIME/TRAFFICKING c140 §122D",1
"SCHOOL BUS, OVERCROWDED c90 §7B",1
"ROBBERY, FIREARM-ARMED & MASKED, SUBSQ.OFF. c265 §17",1
RMV ID CARD ADDRESS CHANGE c90 §8J,1
"RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D(a)",1
RED LIGHT-CITY OF BOSTON TRAFFIC RULES & REGS ART VI SEC 15-3A,1
"RECORDING W/OUT MFR NAME, MFR/SELL/RENT c266 §143C",1
"RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF c266 §60",1
"RECEIVE STOLEN PROPERTY +$1200, SUBSQ c266 §60",1
RECEIVE FALSE-TRADED PROPERTY +$250 c266 §60,1
"RAT POISON, PLACE NEGLGNTLY/MALICIOUSLY c270 §3A",1
"RAPE OF CHILD, STATUTORY, MANDATED REPORTER c265 §23A",1
"RAILROAD, OBSTRUCT/ENDANGER c160 §226",1
"RAILROAD CAR, B&E FOR FELONY c266 §19",1
"QUAHAUGS/CLAMS, SHORT c130 §69",1
"PUBLIC OFFICIAL, IMPERSONATE c268 §33",1
"PUBLIC EMPLOYEE, FALSE REPORT BY c268 §6A",1
"PUBLIC EMPLOYEE LIST, FAIL SUBMIT c31 §69",1
PROHIBITION/LOUD AMPLIFICATION/PUBLIC WAY,1
"PRIVATE DETECTIVE, UNLICENSED c147 §23",1
"POULTRY, B&E OR ENTER TO STEAL c266 §22",1
"PLAYGROUND REGULATION VIOL, MUNICIPAL c45 §24",1
"PHOTOGRAPH SEXUAL OR INTIMATE PARTS OF CHILD, DISSEMINATE c272 §105(c)",1
PERJURY IN CAPITAL CASE c268 §1,1
PEDDLING WITHOUT A LICENSE c101 §14,1
PEDDLING VIOLATION c101 §14,1
"PARKING TICKETS, +5 UNPAID c90 §20C",1
"PARK REGULATION VIOL, TOWN c45 §24",1
"OVERTIME, EMPLOYER FAIL PAY c151 §1B",1
OUI--DRUGS & SERIOUS INJURY c90 §24L(2),1
"OBSCENE MATTER, DISTRIBUTE, 2ND OFF. c272 §29",1
"OBSCENE MATTER TO MINOR, 3RD OFF. c272 §28",1
"NURSING, UNAUTH PRACTICE OF REGISTERED c112 §80",1
"NUMBER PLATE, FALSE APPLIC FOR DEALER c90 §5(g)",1
"NUISANCE, AID/PERMIT c139 §20",1
"NOTARY RECORDS, DESTROY c222 §10",1
"NAME/ADDRESS, BICYCLIST REFUSE GIVE c85 §16",1
"MUNICIPAL/COUNTY OFFCR, EMBEZZLEMENT BY c266 §51",1
"MUNICIPAL SEAL, USE WITHOUT AUTHORITY c268 §35",1
"MOTORIST CALL BOX, TAMPER WITH c268 §32",1
MOTOR VEH HOMICIDE BY RECKLESS OP c90 §24G(c),1
MOTOR VEH DEALER RECORDKEEPING VIOL c90D §16(b),1
"MORTGAGE LENDING PROCESS, FALSE STATEMENT IN c266 §35A(b)      ",1
"MONEY LAUNDERING, TRANSACTION TO CONCEAL OR DISGUISE  c267A §2",1
MDC WATERSHED--MV VIOLATION  350 CMR §11.09,1
"MBTA, POSSESS LIQUOR TO CONSUME ON c161A §5",1
"MBTA PASS, STOLEN/COUNTERFEIT c161 §113A",1
"MBOAT TITLE, TRANSFER WITHOUT c90B §36(c)",1
MBOAT EQUIPMENT VIOLATION 323 CMR §2.06,1
MASS PIKE - LOITERING  700 CMR §7.06(7),1
MARINE FISH--COASTAL FISH VIOLATION 322 CMR §8.00,1
"MARIJUANA +2 OZ, POSSESS OUTSIDE RESIDENCE , SUBSQ. OFF. c94C §34",1
"MARIJUANA +12 MARIJUANA PLANTS, POSSESS c94C §34",1
"MARIHUANA, POSSESS c94C §34",1
"LOTTERY, AID FOREIGN c271 §15",1
"LODGING HOUSE, UNLICENSED c140 §24",1
"LIQUOR, PERSON UNDER 21 POSSESS, SUBSQ. c138 §34C",1
LIQUOR SALE TO INTOXICATED PERSON c138 §69,1
"LIQUOR LICENSING AUTH, REFUSE ID SELF TO c138 §34B",1
"LICENSE, REFUSE PRODUCE IN COURT c90 §25",1
"LICENSE UNDER c.131, ALTER/FORGE c131 §33",1
LICENSE UNDER c.131 VIOLATION c131 §32,1
"LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF c90 §23",1
LANDLORD FAIL PROVIDE UTILITIES c186 §14,1
"JURORS, FRAUD IN DRAWING c234 §41",1
"JUROR, INTIMIDATE c268 §13B",1
JET SKI WITHIN 150 FT OF SWIMMER c90B §9A,1
"INSURANCE INFO, GET ON FALSE PRETENSES c175I §22",1
"INSPECTION CERTIFICATE, IMPROPER MV c111 §142M",1
"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT, SUBSQ. OFF c90 §12(c)",1
"IGNITION INTERLOCK FOR ANOTHER, BYPASS c90 §24U(a)(1)",1
"HUNTING WEAPON, PROPERTY DAMAGE WITH c131 §61",1
"HUNTING WEAPON, PERSONAL INJURY WITH c131 §60",1
"HUNTING INJURY, FAIL REPORT c131 §60",1
HUNT WITH AUTOMATIC WEAPON c131 §64,1
HUNT BEAR WITH DOG OR BY BAITING c131 §21A,1
"HEALTH REGULATION VIOLATION, BOH c111 §31",1
HAZARDOUS WASTE VIOLATION c21E §11,1
HAZARDOUS WASTE VIOLATION c21C §5,1
"HARBOR MASTER, DISOBEY c102 §28",1
HANG ONTO MV c90 §13,1
"GRAVE PLANTING, VANDALIZE c272 §73",1
"GLASS, THROW ON PUBLIC WAY c265 §32",1
"GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM c266 §115",1
"GAMING IN PUBLIC/TRESPASSING, ALLOW c271 §2",1
"GAMBLING NUISANCE, MAINTAIN c139 §14-§15",1
"FUNERAL SERVICE, DISTURB c272 §42A",1
FISH/WILDLIFE--MASS/NH POND VIOL 321 CMR §4.04,1
"FISH/GAME SALE, IMPROPER c131 §22",1
FISH INLAND WATER BY IMPROP METHOD c131 §54,1
"FIREWORKS, STORE IMPROP c148 §40",1
"FIREARM, SELL/TRANSFER LARGE CAPACITY c269 §10F(a)",1
FIREARM USE IN FELONY c265 §18B,1
"FIREARM TRANSPORT INTO COMMONWEALTH, SELL c269 §10I(b)",1
"FIREARM PERMIT, IMPROP ISSUE c140 §131A",1
"FIREARM LICENSE, IMPROP ISSUE c140 §131(k)",1
"FIREARM LICENSE APPLIC, FALSE c140 §131(h)",1
"FIREARM IN VEHICLE,  LARGE CAPACITY c140 §131C(b)",1
"FIREARM IN FELONY, POSSESS LGE CAPACITY, SUBSQ. c265 §18B",1
"FIRE, LARCENY AT c266 §23-§24",1
"FIRE ON ANOTHER'S LAND, SET c266 §8",1
"FIRE ON ANOTHER'S LAND, FAIL EXTINGUISH c266 §9",1
"FENCE, VANDALIZE c266 §114",1
"FALSE/SILENT 911 CALL, SUBSQ. OFF. c269 §14B",1
"FALSE PRETENSE OF TRADE, OBTAIN GOODS BY c266 §73",1
FALSE ALARM FROM POLICE CALL BOX c268 §32,1
"EXPLOSION, MALICIOUS c266 §101",1
ESCAPE FROM S.D.P. TREATMENT CENTER c268 §16,1
"ESCAPE FROM OFFICER, AID c268 §17",1
ELECTRONIC ENTICEMENT OF CHILD FOR PROSTITUTION c265 §26D(c),1
"ELDER ABUSE, FAIL REPORT c19A §15(a)",1
"DRUG, POSSESS TO DISTR TO MINOR CLASS B c94C §32F(b)",1
"DRUG, DISTRIBUTE TO MINOR CLASS C c94C §32F(c)",1
DRUG TO CONFINE c265 §26B,1
DOG/CAT INOCULATION VIOLATION c140 §138A,1
"DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",1
DCR WATERSHED - NON-MV VIOLATION 313 CMR §11.09,1
DBA CERTIFICATE VIOLATION c110 §5,1
"CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",1
"COUNTY BUILDING, VANDALIZE c266 §97",1
"COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF. c266 §147(b)(2)",1
"CONSPIRACY, FOURTH MISDEMEANOR  c274 §7",1
"COMPUTER SVCE, ATT FALSELY OBTAIN COMMER c266 §33A",1
COMMUNITY PAROLE SUPERVISION VIOL c127 §133D(c),1
"CITATION, DISPOSE OF UNLAWFULLY c90C §10",1
"CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",1
"CIGARETTES, SELL SINGLE UNPACKAGED c94 §307A",1
"CHILD ENDANGERMENT WHILE OUI, SUBSQ.OFF.  c90 §24V",1
"CHILD CARE PROGRAM, UNLICENSED c15D §6(a)",1
"CHILD ABUSE, MANDATED REPORTER FL REPORT c119 §51A(c)",1
"CEMETERY, VANDALIZE c272 §74",1
BUILDING VIOLATION c143 §91,1
"BOUNDARY MARK, VANDALIZE c266 §94",1
"BOAT, TRESPASS ON c102 §1A",1
"BOAT, REFUSE STOP/ID FOR OFFICER c90B §38",1
"BOAT, LEAVE SCENE OF PERSONAL INJURY BY c90B §8(e)(1)",1
"BOAT, DESTROY c266 §108",1
"BIRTH CERTIFICATE OF ANOTHER, USE c46 §30",1
"BIRTH CERTIFICATE OF ANOTHER, ATT USE c46 §30",1
"BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",1
BESTIALITY c272 §34,1
"BAR--MOTOR VEH/TRAILER, IMPROPERLY STORE  Barnstable By-Laws art.XX",1
"BANK BILL PAPER, LARCENY OF c266 §42",1
"ASSAULT TO RAPE, SUBSQ. OFF. c265 §24",1
"ASSAULT TO RAPE, FIREARM-ARMED c265 §24",1
"ANIMAL, MALICIOUSLY POISON DOMESTIC c266 §112",1
"ANIMAL, MALICIOUS KILLING OR INJURY TO DOMESTIC, SUBSQ c266 §112",1
"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c265 §15A(a)",1
"A&B TO INTIMIDATE, WITH BODILY INJURY, ARMED c265 §39(b)",1
"A&B ON PERSON WITH INTELLECTUAL DISABILITY, SUBSQ. OFF. c265 §13F",1
"WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",2
"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT  c90 §12(b)",2
"TRESPASS NOTICE, VANDALIZE c266 §122",2
"TREES, CUT/DESTROY c266 §113",2
"TEAR GAS/MACE, USE IN CRIME c269 §10C",2
"TAX, ATTEMPT TO EVADE c62C §73(a)",2
"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF  Boston Municipal Code c.16 §59.3",2
STRIPED BASS TAKEN NOT BY ANGLING c130 §100B,2
"STOLEN VALOR, FRAUD REPRESENTATION AS MILITARY OR VETERAN c272 §106(a)(i)",2
"STOLEN MV, FAIL REPORT RECOVERY OF c90D §33",2
"STATE HWAY--CLOSED TO TRAVEL, PERSON WHERE c85 §2E",2
"STATE BUILDING, VANDALIZE c266 §96",2
SNOW/REC VEH - OUI BY +21 - LIQUOR OR .08% c90B §26A(a),2
"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD c266 §30A",2
SHOPLIFTING $100+ BY CONTAINER SWITCHING c266 §30A,2
SHELLFISH SALES VIOLATION c130 §81,2
"SCHOOL, POSSESS LIQUOR IN c272 §40A",2
"SALES TAX CERTIFICATE, FALSE c62C §73(i)",2
"REGISTRATION, FALSE STATEMNT IN APPL FOR c90 §24(2)(a)",2
"RECORDING, UNAUTHORIZED REPRODUCTION OF c266 §143A",2
"RAPE, AGGRAVATED, SUBSQ. OFF. c265 §22(a)",2
"RAPE, AGGRAVATED FIREARM-ARMED c265 §22",2
"RAPE, AGGRAVATED DURING COMMISSION OF FELONY c265",2
"RAILROAD FARE, EVADE c160 §220",2
"PROSTITUTION, DERIVE SUPPORT FROM CHILD c272 §4B",2
PEDESTRIAN VIOLATION c90 §18A,2
"OUI--LIQUOR OR .08%, 6TH OFFENSE c90 §24(1)(a)(1)",2
"OUI--DRUGS, 4TH OFFENSE c90 §24(1)(a)(1)",2
"NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",2
MOTOR VEH HOMICIDE OUI-LIQUOR OR .08% & RECKLESS c90 §24G(a),2
"MORTGAGED PERSONALTY, CONCEAL c266 §82",2
"MONEY LAUNDERING, DIRECT, ORGANIZE, PLAN SUPERVISE, FINANCE OR MANAGE c267A §2",2
"MINIMUM WAGE ORDER, EMPLOYER FAIL OBEY c151 §19",2
MDC WAY/RESERV--NON-MV VIOLATION 350 CMR §2.01,2
"MBOAT SKIER OBSERVER/LADDER, NO c90B §8(c)",2
"MBOAT MANUFACTURER ID NO., REMOVE c90B §4B",2
"MBOAT ID NO., FAIL DISPLAY c90B §3(a)",2
"MASSAGE/BATHS, UNLICENSED c140 §51",2
MARINE FISH--EQUIPMENT VIOLATION 322 CMR §4.00,2
"MARIHUANA, TRAFFICKING IN 2000 POUNDS OR MORE BUT LESS THAN 10,00 POUNDS c94C §32E(a)",2
MANSLAUGHTER WHILE OUI  c265 §13½,2
"MACHINERY ID NO., REMOVE/ALTER c266 §139A",2
LOGAN--SECURITY ZONE VIOLATION c90 §61,2
"LOBSTER, TAKE EGG-BEARING c130 §41",2
LIQUOR VIOLATION c138 §62,2
LANDLORD INTERFERE WITH QUIET ENJOYMENT c186 §14,2
LANDLORD ATTMPT REGAIN PREMISES BY FORCE c186 §14,2
KIDNAPPING PERSON IN CUSTODY c265 §26A,2
"INDECENT A&B ON CHILD UNDER 14, SUBSQ. c265 §13B",2
IMPEDE NORMAL TRAFFIC FLOW ART 4 S7(1),2
HUNT/FISH IN CLOSED SEASON c131 §5,2
HUNT ON SUNDAY VIOLATION c131 §57,2
"HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",2
"GRAVE, DISTURB c272 §73",2
GAMING IN PUBLIC/TRESPASSING c271 §2,2
"GAMING HOUSE, KEEP COMMON c271 §5",2
"FUGITIVE, FAIL BRING BEFORE COURT c276 §19",2
FL STOP AT STOP SIGN (ST HWY) 720 CMR 9.06(13),2
"FIREARM, CARRY WITHOUT LICENSE LOADED, 4TH OFF. c269 §10(a), (d)&(n)",2
"FIREARM SERIAL NO., MAKE FIREARM WITHOUT c269 §11E",2
"FIREARM SALE, IMPROPER c140 §128",2
"FIREARM IN FELONY, POSSESS, SUBSQ. OFF. c265 §18B",2
FAIL TO OBEY TRAFFIC SIGN ETC-BOSTON TRAFFIC RULES ART3 S3,2
"EXPLOSIVES, DISCHARGE/IGNITE/EXPLODE c266 §102B",2
EMPLOYER FAIL PAY WAGES TIMELY c149 §148,2
ELECTRONIC FUND TRANSFER VIOL c167B §21(a),2
ELECTRONIC ENTICEMENT OF CHILD FOR COMMERCIAL SEXUAL ACTIVITY c265 §26D(c),2
"DRUG, FALSE REGIS NUMBER FOR c94C §33(a)",2
"DRUG, DISTRIBUTE TO MINOR CLASS A c94C §32F(a)",2
"DRUG, DISTRIBUTE CLASS D, SUBSQ. OFF. c94C §32C(b)",2
DRIVE ON SIDEWALK (BOSTON) BOSTON TRAF. ART6 S18,2
"DEER/WATERFOWL, HUNT WITHOUT STAMP c131 §13",2
"DEATH, FAIL NOTIFY MEDICAL EXAMINER OF c38 §3",2
"DANGEROUS WEAPON, CARR,  MISDEMEANOR c269 §10(b)",2
"DANGEROUS WEAPON ON SCHOOL GROUNDS, FAILURE TO REPORT c269",2
"CREDIT CARD, SELL/BUY c266 §37B(d)",2
"CREDIT CARD, RECEIVE IMPROP UNDER $1200 c266 §37B(j)",2
"CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",2
CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g),2
"COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999 c266 §147(b)(2)",2
"COUNTERFEIT MARK, DISTRIB 1000+/$10000+ c266 §147(b)(3)",2
"CORI, DISSEMINATE UNLAWFULLY c6 §178",2
COMMON CARRIER'S GROSS NEGLIGENCE c265 §30,2
"CIVIL RIGHTS VIOLATION WITH INJURY, ATT c265 §37",2
"CIGARETTE EXCISE STAMP, COUNTERFEIT c64C §37",2
"CHURCH, THREAT TO INJURE c266 §127A",2
"CHILD UNDER 10, ABANDON c119 §39",2
"CABLE TV SERVICE BY FRAUD -$5000, OBTAIN c166 §42A",2
BURN PUBLIC BUILDING c266 §2,2
BURN BOAT c266 §5,2
"BOW & ARROW, HUNT WITH IMPROP c131 §69",2
"BOAT, USE WITHOUT AUTHORITY c90B §8(e)(1)",2
BOAT GROUNDED/ABANDONED c91 §49,2
BAR--NOISE VIOLATION  Barnstable By-Laws art.XXI,2
BAR--MOTOR VEH VIOL AT SANDY NECK *  Barnstable By-Laws art.XXVI,2
"BADGE, USE WITHOUT AUTHORITY c268 §35",2
ASSOCIATION OFFICER EMBEZZLE +$250 c266 §58 & §30(1),2
ASSOCIATION MEMBER EMBEZZLE +$250 c266 §59 & §30(1),2
ARSON OF DWELLING HOUSE c266 ?1,2
"ADMISSION TICKET, UTTER FALSE c267 §6",2
ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53,2
A & B WITH HYPODERMIC c.265§15C(b),2
"UNAUTH USE OF CREDIT CARDS >$1,000 VALUE  c140D §27",3
TRESPASS WITH NON - MV VEHICLE  c266 §121A,3
TRESPASS WITH FIREARM c266 §121,3
TRAFFICKING OF PERSON FOR FORCED SERVICES c265 §51(a),3
"TITLE, ALLOW UNAUTH POSSESSION/USE OF MV c90D §32(b)",3
"THREAT, BUSINESS c271 §39(a)",3
"STOLEN PROPERTY, REFUSE RETURN c266 §21",3
SOLICIT TO COMMIT FELONY (Common Law),3
SMOKING ON MBTA c272 §43A,3
"SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",3
"SIGN NAME, MV OPERATOR REFUSE c90 §25",3
SHOPLIFTING $100+ OF SHOPPING CART c266 §30A,3
SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c),3
"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER c140 §122D",3
"ROBBERY, ARMED & MASKED, SUBSQ.OFF. c265 §17",3
"RIOT, INCITE c264 §11",3
"RECEIVER, COMMON c266 §62",3
"RAPE, THREAT OF BODILY INJURY c265 §22(b)",3
"RAPE OF CHILD WITH FORCE, AGGRAVATED, JOINT ENTERPRISE c265 §22B",3
"RAILROAD TRACK, WALK/STAND ON ELECTRIC c162 §18",3
"PROSTITUTION, INDUCE MINOR TO c272 §4A",3
"PRISONER, DELIVER ARTICLE TO c268 §28",3
"POISONING, ATTEMPTED c265 §28",3
PERJURY c268 §1,3
PEDDLING DOOR-TO-DOOR VIOLATION c101 §34,3
OBSTRUCT TRAFFIC (BOSTON) BOSTON TRAF. ART6 S7,3
"NUISANCE, FAIL ABATE PRIVATE HEALTH c111 §123",3
MOTOR VEH HOMICIDE OUI-LIQUOR OR .08% c90 §24G(b),3
MOTOR VEH HOMICIDE OUI-LIQUOR OR .08% & NEGLIGENT c90 §24G(a),3
"MBOAT ID NO., DISPLAY WRONG c90B §3(j)",3
"MBOAT ID NO. CERTIFICATE, NO c90B §3(a)",3
"MBOAT ID NO. CERTIF, FAIL POSSESS c90B §3(a)",3
"MASS PIKE - SIGN/SIGNAL/MARKING, UNAUTHORIZED 700 CMR §7.09(1)(a)",3
"LOTTERY TICKET, ALTER/FORGE/COUNTERFEIT c10 '30",3
LOBSTER/CRAB VIOLATION c130 §38A,3
"LICENSE SUSPENDED, OP MV WITH (CRIMINAL SUBSQ.OFF.) c90",3
"LIBRARY MATERIALS UNDER $250, LARCENY OF c266 §99A",3
LEADER OF ORGANIZED RETAIL THEFT ENTERPRISE c266 §30D(d),3
"LEAD PAINT ABATEMENT ORDER, FAIL OBEY c111 §197",3
"JUROR, ATTEMPT TO BRIBE c268 §13",3
"JUROR QUESTIONNAIRE, FALSE STATEMENT IN c234A §32",3
INDECENT A&B ON PERSON 14 OR OVER SUBSQ OFFENSE OR AFTER OTHER CERTAIN OFFENSES c265 §13H,3
"IGNITION INTERLOCK, TAMPER WITH c90 §24T(a)",3
HUNT ON PUBL LAND WITHOUT PERMIT c131 §59,3
"HOAX INCENDIARY DEVICE, CHEM/BIO/NUCLEAR WEAPON, POSSESS c266 §102(b)",3
"HOAX DEVICE/SUBSTANCE, POSSESS/TRANSPORT/USE c266 §102A½",3
FOOD STAMP TRAFFICKING +$250 c18 §5L(b),3
"FIREARM, ALIEN POSSESS c140 §131H",3
FIREARM UNATTENDED c269 s.10(h)(2),3
"FIRE VIOLATION, MISCELLANEOUS c148 §34",3
"FIRE IN OPEN, SET c48 §13",3
"FIRE ALARM, DISABLE c266 §11",3
FALSE STATEMENT UNDER PENALTY OF PERJURY c268 §1A,3
"ENDANGERED SPECIES, POSSESS/SELL/BUY c131A §2",3
"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D c89 §7",3
"ELDER/DISABLED, PERMIT SERIOUS INJURY TO c265 §13K(e)",3
CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i),3
"COUNTERFEITING EQUIPMENT, POSSESS c267 §13",3
"COUNTERFEIT NOTES, COMMON UTTERER OF c267 §11",3
"CIGARETTES, SELL -12000 UNSTAMPED c64C §34",3
BURN WOODS c266 §7,3
"BURN PERSONALTY, ATTEMPT TO c266 §5A",3
"BODY, DISINTER c272 §71",3
B&E TO STEAL FIREARM c269 §10J(a),3
"ASSAULT TO ROB +60, FIREARM-ARMED c265 §18(a)",3
AMMUNITION OF UNLAWFUL CALIBER c131 §67,3
A&B c265 §13A,3
"WATER SUPPLY, BATHE IN c111 §171",4
UNREGISTERED HAWKER & PEDDLER ORDINANCE 14 S269 (1ST PART),4
UNEMPLOYMENT COMP VIOLATION c151A §47,4
TRESPASS WITH MOTOR VEHICLE * c266 §121A,4
TRAFFICKING OF PERSON UNDER 18 FOR SEXUAL SERVITUDE c265 §50(b),4
"TICKET RESALE, UNLICENSED c140 §185A",4
STATE BUILDING CODE VIOLATION c143 §94(a),4
"SHOTGUN, POSSESS LOADED SAWED-OFF c269 s.10(n)",4
SHOPLIFTING BY RECORDING FALSE VALUE c266 §30A,4
"SEX OFFENDER FAIL TO REGISTER, PRIOR QUALIFYING OFFENSE c6 §178H(a)(1)",4
"ROBBERY, FIREARM-ARMED, SUBSQ.OFF. c265 §17",4
"RAPE OF CHILD WITH FORCE, SUBSQ.OFF. c265 §22A",4
"PUBLIC WAY, THROW OBJECT ON c265 §35",4
"PUBLIC EMPLOYEE, BRIBE c268A §2(a)",4
"PROSTITUTION, PROCURE PERSON TO PRACTICE c272 §12",4
"PRISONER, RECEIVE ARTICLE FROM c268 §31",4
OUI-DRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1),4
"OUI--DRUGS, 5TH OFFENSE c90 §24(1)(a)(1)",4
ONE-WAY STREET VIOLATION (ST HWY) 720 CMR 9.05(1),4
"NUISANCE REGULATION VIOLATION, HEALTH c111 §122",4
NEGLIGENT OPERATION & INJURY FROM MOBILE PHONE USE c90 §24(2)(a),4
"NAME/ADDRESS, REFUSE GIVE AT NIGHT c85 §16",4
"MOTOR VEH MASTER KEY, POSSESS c266 §49",4
"MEDICAL ASSISTANCE, FALSE STATEMENT FOR c118E §39",4
MBOAT OPERATION VIOLATION 323 CMR §2.07,4
"MARIJUANA +10 OZ, POSSESS c94C §34",4
"MACHINE GUN, POSSESS c269 §10(c)",4
"LOBSTER, TAKE EGG-REMOVED c130 §41A",4
"LIQUOR, TRANSPORT UNLAWFULLY c138 §22",4
"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE c138 §34A",4
"LICENSE, EXHIBIT ANOTHER'S, SUBSQ.OFF. c90 §23",4
LEASE MV OBTAINED BY FRAUD/BAD CHECK c90 §32F,4
KIDNAPPING FOR EXTORTION c265 §26,4
KIDNAPPING & ENDANGER MINOR BY RELATIVE c265 §26A,4
"INTIMIDATE TO STEAL FROM DEPOSITORY, ATT c265 §21",4
"INSURANCE CLAIM, PREPARE FALSE c266 §111A",4
INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B¾,4
HUNT BY ARTIFICIAL LIGHT c131 §68,4
"FRAUD/CHEAT, GROSS c266 §76",4
FORGERY OF ORDER FOR MONEY c267 §1,4
FORGERY (Common Law),4
"EXPLOSIVES, POSSESS c266 §102(c)",4
ENTERPRISE CRIME c271A §2,4
"ELECTRICITY, FRAUDULENT USE OF c164 §127",4
EELING VIOLATION c130 §100D,4
"DRUG, POSSESS CLASS D, SUBSQ.OFF. c94C §34",4
